,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,department,odds,Emp_ID
0,0.38,0.53,2,157,3,0,0,1,7,0.90781045,11250
1,0.8,0.86,5,262,6,0,0,2,7,0.025568336,11251
2,0.11,0.88,7,272,4,0,0,2,7,0.0018505156,11252
3,0.72,0.87,5,223,5,0,0,1,7,8.3248015e-05,11253
4,0.37,0.52,2,159,3,0,0,1,7,0.0007416606,11254
5,0.41,0.5,2,153,3,0,0,1,7,0.025753468,11255
6,0.1,0.77,6,247,4,0,0,1,7,0.055155456,11256
7,0.92,0.85,5,259,5,0,0,1,7,0.00631693,11257
8,0.89,1.0,5,224,5,0,0,1,7,0.022885382,11258
9,0.42,0.53,2,142,3,0,0,1,7,0.96953547,11259
10,0.45,0.54,2,135,3,0,0,1,7,0.02530092,11260
11,0.11,0.81,6,305,4,0,0,1,7,0.020300418,11261
12,0.84,0.92,4,234,5,0,0,1,7,0.99636793,11262
13,0.41,0.55,2,148,3,0,0,1,7,0.9172083,11263
14,0.36,0.56,2,137,3,0,0,1,7,0.018491417,11264
15,0.38,0.54,2,143,3,0,0,1,7,0.08783865,11265
16,0.45,0.47,2,160,3,0,0,1,7,0.9946902,11266
17,0.78,0.99,4,255,6,0,0,1,7,0.01702848,11267
18,0.45,0.51,2,160,3,1,1,1,7,3.2359283e-05,11268
19,0.76,0.89,5,262,5,0,0,1,7,0.0004454553,11269
20,0.11,0.83,6,282,4,0,0,1,7,0.19899198,11270
21,0.38,0.55,2,147,3,0,0,1,7,0.05007267,11271
22,0.09,0.95,6,304,4,0,0,1,7,0.0033516884,11272
23,0.46,0.57,2,139,3,0,0,1,7,0.9182099,11273
24,0.4,0.53,2,158,3,0,0,1,7,0.013163209,11274
25,0.89,0.92,5,242,5,0,0,1,7,0.9138733,11275
26,0.82,0.87,4,239,5,0,0,1,7,0.026790679,11276
27,0.4,0.49,2,135,3,0,0,1,7,0.005635947,11277
28,0.41,0.46,2,128,3,0,0,1,2,0.0069144964,11278
29,0.38,0.5,2,132,3,0,0,1,2,6.130762e-06,11279
30,0.09,0.62,6,294,4,0,0,1,2,0.061972886,11280
31,0.45,0.57,2,134,3,0,0,1,3,0.90071905,11281
32,0.4,0.51,2,145,3,0,0,1,3,0.00014957786,11282
33,0.45,0.55,2,140,3,0,0,1,3,0.0056357086,11283
34,0.84,0.87,4,246,6,0,0,1,3,0.04656318,11284
35,0.1,0.94,6,255,4,0,0,1,9,0.021172673,11285
36,0.38,0.46,2,137,3,0,0,1,9,0.030319273,11286
37,0.45,0.5,2,126,3,0,0,1,9,0.0030132234,11287
38,0.11,0.89,6,306,4,0,0,1,9,0.0052746236,11288
39,0.41,0.54,2,152,3,0,0,1,9,0.05275491,11289
40,0.87,0.88,5,269,5,0,0,1,9,0.0007556975,11290
41,0.45,0.48,2,158,3,0,0,1,9,0.030167282,11291
42,0.4,0.46,2,127,3,0,0,1,9,0.9565507,11292
43,0.1,0.8,7,281,4,0,0,1,9,0.8628596,11293
44,0.09,0.89,6,276,4,0,0,1,9,0.9922166,11294
45,0.84,0.74,3,182,4,0,0,1,9,0.027378708,11295
46,0.4,0.55,2,147,3,0,0,1,8,0.0023033023,11296
47,0.57,0.7,3,273,6,0,0,1,8,0.9770214,11297
48,0.4,0.54,2,148,3,0,0,1,8,0.9918743,11298
49,0.43,0.47,2,147,3,0,0,1,8,0.9632653,11299
50,0.13,0.78,6,152,2,0,0,1,8,0.0019488037,11300
51,0.44,0.55,2,135,3,0,0,1,8,0.0014027655,11301
52,0.38,0.55,2,134,3,0,0,1,8,0.0032057166,11302
53,0.39,0.54,2,132,3,0,0,1,8,0.0064412653,11303
54,0.1,0.92,7,307,4,0,0,1,8,4.2197455e-05,11304
55,0.37,0.46,2,140,3,0,0,1,8,0.0067541003,11305
56,0.11,0.94,7,255,4,0,0,1,8,0.022538513,11306
57,0.1,0.81,6,309,4,0,0,1,9,0.9876808,11307
58,0.38,0.54,2,128,3,0,0,1,9,0.0011299849,11308
59,0.85,1.0,4,225,5,0,0,1,9,0.011447936,11309
60,0.85,0.91,5,226,5,0,0,2,4,0.0029279292,11310
61,0.11,0.93,7,308,4,0,0,2,0,0.00046005845,11311
62,0.1,0.95,6,244,5,0,0,2,0,0.22332251,11312
63,0.36,0.56,2,132,3,0,0,2,0,0.005530089,11313
64,0.11,0.94,6,286,4,0,0,2,0,0.019799083,11314
65,0.81,0.7,6,161,4,0,0,2,0,0.02862519,11315
66,0.43,0.54,2,153,3,0,0,2,6,0.0114043355,11316
67,0.9,0.98,4,264,6,0,0,2,6,0.012082219,11317
68,0.76,0.86,5,223,5,1,0,2,6,0.015164375,11318
69,0.43,0.5,2,135,3,0,0,2,6,0.0054056644,11319
70,0.74,0.99,2,277,3,0,0,2,0,0.7863995,11320
71,0.09,0.77,5,275,4,0,0,2,6,0.0012936592,11321
72,0.45,0.49,2,149,3,0,0,0,6,0.024087548,11322
73,0.09,0.87,7,295,4,0,0,1,6,0.13069552,11323
74,0.11,0.97,6,277,4,0,0,2,6,0.9503387,11324
75,0.11,0.79,7,306,4,0,0,2,6,0.00067460537,11325
76,0.1,0.83,6,295,4,0,0,2,6,0.00033196807,11326
77,0.4,0.54,2,137,3,0,0,2,5,0.98392737,11327
78,0.43,0.56,2,157,3,0,0,1,7,0.040143013,11328
79,0.39,0.56,2,142,3,0,0,1,2,0.0067332387,11329
80,0.45,0.54,2,140,3,0,0,1,8,0.9903397,11330
81,0.38,0.49,2,151,3,0,0,1,9,0.74286515,11331
82,0.79,0.59,4,139,3,0,1,1,4,0.016674846,11332
83,0.84,0.85,4,249,6,0,0,1,5,0.0006276965,11333
84,0.11,0.77,6,291,4,0,0,1,5,0.04139909,11334
85,0.11,0.87,6,305,4,0,0,1,5,0.10397777,11335
86,0.17,0.84,5,232,3,0,0,1,7,0.9259721,11336
87,0.44,0.45,2,132,3,0,0,1,7,0.006345719,11337
88,0.37,0.57,2,130,3,0,0,1,7,0.0031950772,11338
89,0.1,0.79,6,291,4,0,0,1,7,0.2537341,11339
90,0.4,0.5,2,130,3,0,0,1,7,0.8026125,11340
91,0.89,1.0,5,246,5,0,0,1,7,0.008687019,11341
92,0.42,0.48,2,143,3,0,0,1,7,0.6603918,11342
93,0.46,0.55,2,129,3,0,0,1,7,0.0010657012,11343
94,0.09,0.83,6,255,4,0,0,1,7,5.1624247e-05,11344
95,0.37,0.51,2,155,3,0,0,1,7,0.9203741,11345
96,0.1,0.77,6,265,4,0,0,1,7,0.89583516,11346
97,0.1,0.84,6,279,4,0,0,1,7,0.88589907,11347
98,0.11,0.97,6,284,4,0,0,1,7,0.94388866,11348
99,0.9,1.0,5,221,6,0,0,2,7,0.0051568747,11349
100,0.38,0.52,2,154,3,0,0,2,7,0.011005104,11350
101,0.36,0.52,2,147,3,0,0,2,7,0.98841774,11351
102,0.42,0.46,2,150,3,0,0,2,7,2.7039332e-05,11352
103,0.09,0.94,7,267,4,0,0,2,7,0.00013840199,11353
104,0.43,0.52,2,158,3,0,0,2,7,0.0013579428,11354
105,0.24,0.46,7,224,5,0,0,2,2,0.063212276,11355
106,0.91,1.0,4,257,5,0,0,2,2,0.013701856,11356
107,0.44,0.5,2,148,3,0,0,2,2,0.0072491765,11357
108,0.71,0.87,3,177,4,0,0,2,3,0.00048813224,11358
109,0.4,0.49,2,155,3,0,0,2,3,0.010956585,11359
110,0.43,0.47,2,144,3,0,0,2,3,0.0013966858,11360
111,0.09,0.85,6,289,4,0,0,0,3,0.00022414327,11361
112,0.43,0.52,2,160,3,0,0,1,9,0.0004376769,11362
113,0.9,0.96,4,258,5,0,0,2,9,0.0085737705,11363
